,縣市別,年份,調查站_座標_經度,調查站_座標_緯度,總計_流量(PCU)
6258,新北市,110,121.50382,25.0502347,77120
6259,新北市,110,121.50382,25.0502347,78295
6260,新北市,110,121.4546055,25.060429,26466
6261,新北市,110,121.4546055,25.060429,17059
6262,新北市,110,121.453437,25.0605974,21693
6263,新北市,110,121.453437,25.0605974,29935
6264,新北市,110,121.4208484,25.0321823,26007
6265,新北市,110,121.4208484,25.0321823,24178
6266,桃園市,110,121.4055728,25.018181,36344
6267,桃園市,110,121.4055728,25.018181,32799
6268,桃園市,110,121.363976,25.0010016,16904
6269,桃園市,110,121.363976,25.0010016,11391
6270,桃園市,110,121.3326617,24.9971367,30274
6271,桃園市,110,121.3326617,24.9971367,31573
6272,桃園市,110,121.2695349,24.97744428,28049
6273,桃園市,110,121.2695349,24.97744428,33273
6274,桃園市,110,121.2316567,24.96367972,31686
6275,桃園市,110,121.2316567,24.96367972,28092
6276,桃園市,110,121.206437,24.94934868,13824
6277,桃園市,110,121.206437,24.94934868,14978
6278,桃園市,110,121.187577,24.923261,19949
6279,桃園市,110,121.187577,24.923261,23152
6280,桃園市,110,121.145381,24.90690599,14962
6281,桃園市,110,121.145381,24.90690599,15930
6282,新竹縣,110,121.0864895,24.8877403,7387
6283,新竹縣,110,121.0864895,24.8877403,6911
6284,新竹縣,110,121.0381867,24.8798273,6093
6285,新竹縣,110,121.0381867,24.8798273,5958
6286,新竹縣,110,121.006487,24.87918276,20461
6287,新竹縣,110,121.006487,24.87918276,24972
6288,新竹縣,110,121.0037085,24.8534749,30160
6289,新竹縣,110,121.0037085,24.8534749,29914
6290,新竹縣,110,121.0052924,24.8381254,17853
6291,新竹縣,110,121.0052924,24.8381254,22309
6292,新竹縣,110,121.0023159,24.8311828,22943
6293,新竹縣,110,121.0023159,24.8311828,24064
6294,新竹縣,110,120.9976118,24.8254322,27726
6295,新竹縣,110,120.9976118,24.8254322,46897
6296,新竹市,110,120.9670968,24.8135906,19109
6297,新竹市,110,120.9670968,24.8135906,17686
6298,新竹市,110,120.9371119,24.790729,16468
6299,新竹市,110,120.9371119,24.790729,16017
6300,新竹縣,110,120.9159139,24.73121099,9601
6301,新竹縣,110,120.9159139,24.73121099,9444
6302,新北市,110,121.5046668,25.0640399,49141
6303,新北市,110,121.5046668,25.0640399,49413
6304,新北市,110,121.4881359,25.057524,24107
6305,新北市,110,121.4881359,25.057524,21177
6306,新北市,110,121.4485624,25.0352992,32973
6307,新北市,110,121.4485624,25.0352992,31243
6308,桃園市,110,121.3694876,25.00744311,8420
6309,桃園市,110,121.3694876,25.00744311,15065
6310,桃園市,110,121.3217935,24.9916988,26424
6311,桃園市,110,121.3217935,24.9916988,26973
6312,桃園市,110,121.3046973,24.98980825,19905
6313,桃園市,110,121.3046973,24.98980825,18819
6314,新北市,110,121.4597602,25.1350839,62134
6315,新北市,110,121.4597602,25.1350839,61889
6316,新北市,110,121.4592507,25.15683276,58539
6317,新北市,110,121.4592507,25.15683276,57572
6318,新北市,110,121.4577965,25.17458668,35831
6319,新北市,110,121.4577965,25.17458668,36317
6320,新北市,110,121.4502011,25.18237753,29889
